PRKACB,0.0045607337
SHCBP1,0.0044834465
CCR1,0.00447271
IL2RB,0.004433876
VCL,0.0043240404
FPR1,0.004180013
FOXRED2,0.004161722
IL21R,0.0041414294
MAX,0.0041264347
ETFA,0.0040508965
JPT2,0.0040462976
GLRX5,0.004008418
THBD,0.0039997855
VDR,0.003979913
LGALS2,0.003937237
TRBC1,0.003916777
ANK1,0.003910546
ALOX5AP,0.0038842626
IL4I1,0.0038586347
HDC,0.0038556573
ID2,0.003818348
DOK2,0.0037941472
MTHFD2,0.003785205
PRF1,0.0036673767
GBP5,0.003620224
PSMB5,0.0035780612
FMNL2,0.0035149925
F13A1,0.0034770856
RNASE2,0.003402148
TUBG1,0.003348844
HMOX1,0.0033280032
HYOU1,0.0033083428
BRI3BP,0.003305302
C15orf48,0.0032822196
KCNH2,0.0032697138
FCGR2A,0.0032599317
CLEC4D,0.0032533787
BZW2,0.0031395871
LOXL3,0.0031196987
PTTG1,0.0031159697
HGF,0.0030964739
TCEAL9,0.0030707433
AEN,0.0029395437
MOB3C,0.0029177964
CCL5,0.0028794324
RGS3,0.0028155483
PCSK6,0.0027831926
CPNE5,0.0027776877
DAG1,0.002729893
CENPW,0.0027016483
TNNT1,0.0026462507
ANKRD28,0.0026193636
BTBD19,0.002615161
CASP3,0.002555987
NCKIPSD,0.0025102545
NDRG2,0.0024758317
MYCT1,0.0024584427
SH3BGRL2,0.0024493397
ASF1B,0.0024364535
FOLR2,0.0024345121
CX3CR1,0.0024077205
ITGB3,0.002348367
P2RY6,0.0022874372
C19orf33,0.002284898
RMI2,0.0021870534
SLAMF7,0.002158338
FCGR3A,0.0021547042
IFT25,0.002140956
RHOB,0.0021310006
DNAJC9,0.002079695
TMEM97,0.0020792277
PGAM5,0.002054222
TMEM176A,0.0020161325
LOXHD1,0.0019266539
CD163,0.0019012647
DAB2,0.0018919571
HPSE,0.0018624447
GAS2L1,0.0018574056
ELAVL1,0.0018449449
ABCC3,0.0017607498
SLBP,0.0017495188
TUBB1,0.0017045495
PARPBP,0.001694046
SDC3,0.0016029536
RASA3,0.0015964312
PDE2A,0.0015915199
LGMN,0.001585357
DLC1,0.0015853102
MS4A3,0.0015844507
FAM83F,0.0015769417
CES1,0.0015693589
TMA7B,0.0015259155
PTPRJ,0.0015230203
CLC,0.0015157685
PLEKHG3,0.0014909601
PYCR2,0.0014842963
ITGB5,0.0014772769
ZNF703,0.0014712914
KLRB1,0.00146169
RRAD,0.0013992261
NBEAL2,0.001383487
HSPA8,0.0013779143
RUVBL1,0.0013590036
SMTN,0.0013518841
PTPN12,0.0013338557
SYNE2,0.0013252657
DKC1,0.0013165558
GRK5,0.0013003248
CLEC10A,0.0012873273
IL32,0.0012542913
ADM,0.0012496505
OLR1,0.0012162451
ANKRD22,0.0012028784
GYPC,0.001192832
RFX2,0.0011913511
NR4A3,0.0011396417
STX1A,0.0011097125
CD3D,0.0011023101
CD247,0.0011015777
CENPV,0.0010876205
G0S2,0.0010811669
IRF4,0.0010293361
LPAR5,0.000995619
CXCL10,0.0009906894
LRRC25,0.00097579276
PLBD1,0.00097084686
PDGFA,0.000944753
AGBL5,0.0008804271
CALD1,0.0008590845
CD300E,0.0008526526
CD14,0.0008251549
HSPH1,0.00076964893
VSIG4,0.00075837155
TMEM158,0.00074190635
GIMAP4,0.00073902786
NKG7,0.0007020774
PADI2,0.00066224555
