PLEKHG3,0.06965253
PIM1,0.06662948
CENPJ,0.06594208
IFFO2,0.06504181
CREBL2,0.063808575
MPEG1,0.063319534
NDUFA8,0.06274422
IGSF6,0.061563794
PTAFR,0.061442975
EREG,0.060162783
H2BC21,0.059655614
ANPEP,0.05788005
ATP13A2,0.057216946
LOXL3,0.056533463
PLEK,0.05611765
TMEM273,0.055859603
CD84,0.05483602
SLC2A3,0.054822437
BPI,0.05481942
MSR1,0.053950757
SLC2A6,0.053716134
SUCNR1,0.053242154
JAML,0.052860796
SOCS3,0.05276902
NT5C3A,0.05116046
SLC37A4,0.051141445
S100A9,0.05081416
STARD8,0.050711922
PARP15,0.05010851
YWHAH,0.049673334
RGS10,0.049466975
SGPP1,0.04933304
AMIGO2,0.049210873
IL21R,0.0485339
NFE2,0.048191935
GASK1B,0.04815552
WNT11,0.04806776
CSRP1,0.047009755
PRKAR2B,0.04634261
ACAT2,0.045215018
CLEC4E,0.04491178
LIG1,0.043090913
SPON2,0.043034565
CRISPLD2,0.042792365
TNFAIP3,0.042133015
DHCR24,0.042059597
SCCPDH,0.04189397
RASGEF1B,0.04183442
SIDT2,0.04099998
TNF,0.040753275
CA2,0.040313832
SRC,0.039341073
ICAM1,0.038763437
TNS1,0.03820938
FCGR2A,0.037153408
ASAP1,0.037055604
DAPP1,0.03674967
CPEB4,0.035900634
MBOAT2,0.034649972
ISOC1,0.03415927
EGR2,0.034051653
PTGER4,0.03384262
RGS3,0.033659764
TEDC1,0.033541057
MMP14,0.03299058
SERPINH1,0.03289669
ME1,0.032886975
CXCL2,0.032048345
EHD1,0.032021005
CD79B,0.03199537
TMEM176A,0.031154197
CMIP,0.030873757
TMBIM1,0.030793354
CTSB,0.030622464
SDC4,0.030446101
NAA80,0.029842721
FLNB,0.029440533
CLEC9A,0.029416485
SLC31A2,0.028441234
CKS2,0.027295515
STEAP3,0.027158355
SLAMF6,0.026891857
C15orf48,0.026350353
PTGIR,0.025822725
LSS,0.025815185
TUBA1B,0.025467798
HPSE,0.024709512
LZTS2,0.024611086
CKS1B,0.024416864
OLFML2A,0.024407916
PLAUR,0.022765353
RGL1,0.022672297
ACAT1,0.022585353
CD83,0.022566928
CTNNBL1,0.022378722
DNMT1,0.021858925
FDXR,0.021821272
WIPI1,0.021675613
TEC,0.021287898
ACSL5,0.021254215
FARSA,0.021058554
EAF2,0.021014987
TLN1,0.020964857
BUB3,0.020425875
MICALL2,0.020346116
AFF2,0.019493617
PRIM1,0.01936429
CAPN1,0.019217176
SRI,0.019069308
MS4A7,0.01806592
NPDC1,0.017911525
EIF2S1,0.017803548
HOXA10,0.017710503
RHOU,0.017696328
CYCS,0.01752286
TNIK,0.017402355
SLC40A1,0.017210029
CCND2,0.01696539
SAMHD1,0.016616365
CLIC4,0.016419457
TAGLN,0.016232368
FUNDC1,0.015929677
STMN3,0.01589669
ABHD16A,0.015543999
INCENP,0.015455635
BLVRB,0.015411539
DDAH2,0.015397401
PCED1B,0.014983909
PRR11,0.014937158
SOS1,0.014690643
CD226,0.014655694
CCDC167,0.014601083
GUCY1B1,0.014363217
LOXHD1,0.014131867
NEXN,0.013366499
MTARC1,0.012863205
HIRIP3,0.012718391
MNDA,0.012582228
PCCB,0.012561526
SCN1B,0.012370615
FNTB,0.012049694
DMWD,0.0119965235
BIN1,0.011587256
FAM98A,0.011497567
TP53,0.011491544
BRIP1,0.011428164
OASL,0.01139619
MARCKS,0.011359262
AQP9,0.0112828715
ANKRD28,0.011132056
FANCI,0.010956165
CTSW,0.0108284615
TRIP10,0.010799587
RASGRP1,0.01074812
PRUNE1,0.010674542
MCM8,0.010601185
NLK,0.010489267
CXCL3,0.01045859
SLC39A3,0.010369749
SLC25A37,0.010320077
RHOB,0.0102850655
HAT1,0.010243432
ARHGAP18,0.010168201
CISD2,0.010104558
GUCY1A1,0.009973103
MCM3,0.009898808
SEL1L3,0.00985633
GRB10,0.009854222
MDK,0.009695755
GMPR,0.009625379
ANKRD9,0.009571968
DCTPP1,0.009497915
GOLM1,0.009267858
LEPR,0.009136541
FAM89A,0.0090813115
CCL4,0.00891757
VBP1,0.008914634
