,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
31,GBP1,0,-0.903122681256896,-0.867081969535919,-0.939163392977873,0
32,GBP2,0,-0.930672538892764,-0.894659090627,-0.966685987158528,0
33,GBP5,0,-2.36471926362033,-2.3252263073933,-2.40421221984736,0
34,GRN,0,-0.721432286237011,-0.690114441723096,-0.752750130750925,0
35,HAPLN3,0,-0.74417248096431,-0.716196311619655,-0.772148650308964,0
36,HSPA5,0,0.967125217333545,1.01124394316892,0.923006491498167,0
37,IDO1,0,-0.425704092874845,-0.402320240224082,-0.449087945525607,0
38,IFI27,0,-1.17677346865038,-1.12972412621485,-1.22382281108591,0
39,IFI30,0,-0.568521617764916,-0.544546231998531,-0.592497003531301,0
40,IFI35,0,-0.665094276070343,-0.638031739007092,-0.692156813133594,0
41,IFI44L,0,-0.903671984778739,-0.874924386348505,-0.932419583208972,0
42,IFI6,0,-1.58752898822969,-1.54225234392442,-1.63280563253497,0
43,IFITM2,0,-0.773544981994399,-0.739405023159708,-0.80768494082909,0
44,IFITM3,0,-2.15115142031946,-2.11042243134918,-2.19188040928975,0
45,IL31RA,0,-0.481163332004473,-0.459350809348923,-0.502975854660022,0
46,ISG15,0,-0.846760736113533,-0.806940394790965,-0.886581077436101,0
47,LAP3,0,-0.868628591184452,-0.829561632854956,-0.907695549513949,0
48,LCP1,0,-0.588403037666625,-0.562162082189498,-0.614643993143751,0
49,LGALS3BP,0,-0.841529567786178,-0.813389835522965,-0.869669300049391,0
50,LRRK2,0,-0.832940245414287,-0.794553135301855,-0.871327355526719,0
51,LSP1,0,0.920018519152501,0.958212998386726,0.881824039918276,0
52,LY6E,0,-1.27616503437074,-1.23904248892853,-1.31328757981294,0
53,MS4A6A,0,-0.986860695654024,-0.949098819049564,-1.02462257225848,0
54,MYADM,0,-0.855742341481939,-0.819449205674828,-0.89203547728905,0
55,MYOF,0,-0.574910426162727,-0.549781169981719,-0.600039682343736,0
56,NUCB1,0,-0.921793169640272,-0.888987444379623,-0.95459889490092,0
57,PARP14,0,-0.696404598114126,-0.661857093371317,-0.730952102856935,0
58,PHACTR1,0,0.862737366010371,0.90067879765824,0.824795934362503,0
59,PLAAT4,0,-1.96105531001139,-1.92269443889895,-1.99941618112383,0
60,PLAC8,0,-1.24094133260645,-1.20283210438223,-1.27905056083068,0
61,PLEKHO1,0,-1.47255575971166,-1.43693433502106,-1.50817718440226,0
62,PNRC1,0,0.714125943932443,0.745003689494109,0.683248198370777,0
63,PSMB10,0,-0.998737621538575,-0.964946277500995,-1.03252896557615,0
64,PSME1,0,-0.671051431169222,-0.64407214444524,-0.698030717893205,0
65,PSME2,0,-0.966696263081302,-0.93326758407735,-1.00012494208525,0
66,PTAFR,0,-0.867746913345549,-0.827925581779037,-0.907568244912062,0
67,S100A11,0,-0.776126803516621,-0.742816314498254,-0.809437292534988,0
68,S100A8,0,-1.23265246629653,-1.17162708246525,-1.29367785012781,0
69,SATB1,0,0.688863073754501,0.723567035676227,0.654159111832774,0
70,SECTM1,0,-0.998685978683723,-0.96428595698753,-1.03308600037992,0
71,SELL,0,-1.23257976452497,-1.18868683390753,-1.2764726951424,0
72,SEPTIN4,0,-0.655559314078744,-0.633003996269155,-0.678114631888332,0
73,SERPING1,0,-2.21945910497775,-2.18613944544158,-2.25277876451391,0
74,SLAMF7,0,-0.710423256108098,-0.687808229639184,-0.733038282577012,0
75,SLAMF8,0,-0.439586770734701,-0.419306036828941,-0.459867504640461,0
76,TAP1,0,-1.07528178394003,-1.03736453890249,-1.11319902897758,0
77,TAPBP,0,-0.704836374819507,-0.673486534895855,-0.736186214743159,0
78,THBS1,0,1.30927287015258,1.37334446775602,1.24520127254914,0
79,TMSB10,0,-0.957907998025052,-0.934523900337773,-0.981292095712332,0
80,TYMP,0,-1.47598960797377,-1.44301238968602,-1.50896682626152,0
81,UBE2L6,0,-1.30736493851405,-1.27066213624965,-1.34406774077846,0
82,VAMP5,0,-1.29394258784248,-1.26332124568864,-1.32456392999633,0
83,WARS1,0,-1.7852879465059,-1.74785046581656,-1.82272542719524,0
84,UCP2,4.94065645841247e-324,-0.71584181491654,-0.679222497154747,-0.752461132678333,7.11454530011395e-322
85,RNF19B,6.8181059126092e-322,0.737527222354237,0.774659164260182,0.700395280448291,9.67874600203002e-320
