,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
10546,WDR76,0.0686078989592662,-0.0402173891214902,0.00737902781144169,-0.0878138060544221,0.0819963928013077
10547,TGFB1I1,0.0689215853486116,0.00943065649836724,0.0342353543929928,-0.0153740413962583,0.0823634836194084
10548,C4orf47,0.0689647920353884,-0.00968161424679921,0.00065025015868835,-0.0200134786522868,0.0824073036418312
10549,KCTD21,0.0689972416673677,0.0110316387665744,0.0218318060013595,0.000231471531789318,0.0824382627714004
10550,BPNT1,0.0690269684930455,-0.0119088359562004,0.0185043311654544,-0.0423220030778553,0.0824659631171892
10551,NOL3,0.0694258387121447,0.0135262783906051,0.0257196365415872,0.00133292023962308,0.0829346290520209
10552,RWDD3,0.0694849810984235,-0.0148001186023841,0.0146106672279804,-0.0442109044327485,0.0829974129799593
10553,MS4A14,0.0695229044555052,NA,NA,NA,0.0830348420124313
10554,FBXL13,0.0696163243625806,-0.0072547835262056,0.012342134072073,-0.0268517011244842,0.0831385401047911
10555,SUCLA2,0.0697681199275807,-0.0152869745263909,0.0260453047901587,-0.0566192538429405,0.0833119264393394
10556,PDZD7,0.069871420993571,0.00505859408337516,0.0173338481255087,-0.00721665995875835,0.0834273768665185
10557,GNG8,0.0699809559806795,NA,NA,NA,0.0835502480989376
10558,S100A1,0.0700207895315413,NA,NA,NA,0.0835898874081783
10559,IGF2BP3,0.0703251105513485,0.0180356735737485,0.0497553936430948,-0.0136840464955978,0.0839452309299363
10560,CBX7,0.0705334529475612,0.00163347223792125,0.0309648974822446,-0.0276979530064021,0.0841859508476384
10561,CYB561D2,0.0705965383512368,-0.0210345141456248,0.0160768875861998,-0.0581459158774494,0.0842532685710623
10562,EID2,0.0707130019254825,-0.0272256117044827,0.0128998798946721,-0.0673511033036374,0.0843842715649291
10563,C20orf204,0.0708411431344824,0.0040533316880247,0.0231958816736219,-0.0150892182975725,0.0845291837609596
10564,SMPD1,0.0709288867416994,-0.0135553984697011,0.0200130411377997,-0.047123838077202,0.0846098512674976
10565,ULK4,0.0709261211060761,-0.0224674504532371,0.0545482885107943,-0.0994831894172684,0.0846098512674976
10566,ZNF17,0.0709186638657984,0.00259462975014842,0.0372508739294628,-0.0320616144291659,0.0846098512674976
10567,CCNQ,0.071017996147685,0.0120759435596431,0.0403704614291664,-0.0162185743098802,0.0847081312998411
10568,MYH3,0.0717341852738735,-0.00746123369480373,0.019361903442937,-0.0342843708325445,0.0855542837993851
10569,CLEC1A,0.0721147303427323,NA,NA,NA,0.0860000057942849
