,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
11539,HEXA,0.686572751758527,-0.0221384439783439,0.0307568333625755,-0.0750337213192632,0.803133634044249
11540,PF4V1,0.686830932215124,NA,NA,NA,0.803366024526841
11541,ANKRD33B,0.687246817335425,0.00869359533128847,0.0333633455164443,-0.0159761548538674,0.803782821280095
11542,ZNF92,0.687612752908012,-0.0145504963130557,0.0315040450180437,-0.0606050376441551,0.80414113141157
11543,CLN6,0.687769572579153,0.00820878998154106,0.0451772686415168,-0.0287596886784346,0.804185177639762
11544,MOB1B,0.687764418638686,0.0207665319542711,0.0696523697495458,-0.0281193058410036,0.804185177639762
11545,OLFML2B,0.687907312424308,-0.000764468638094031,0.000941869694685463,-0.00247080697087353,0.804276561550741
11546,WDR17,0.688563877573417,-0.00722070899147303,0.0192629884996438,-0.0337044064825899,0.804974469035682
11547,TMTC3,0.688824060239625,0.00811221292386749,0.030751174522202,-0.014526748674467,0.805208899724124
11548,ZNF587B,0.689181484153829,-0.0061553286231399,0.012759428068528,-0.0250700853148078,0.805556951256355
11549,C2orf81,0.689259232767464,-0.00378822459793062,0.00555667479427563,-0.0131331239901369,0.80557806943417
11550,NOS2,0.690057865756301,-0.00136105041429593,0.00156273448049996,-0.00428483530909181,0.806441651253554
11551,WHRN,0.690467668244269,-0.012439626126,0.0199211529879426,-0.0448004052399427,0.806850713008496
11552,CPE,0.690761659330796,0.00254402666576639,0.00957494216078903,-0.00448688882925626,0.806914831470972
11553,FAR2,0.690697857144456,0.0118192256344193,0.0458855836835416,-0.022247132414703,0.806914831470972
11554,IRAK4,0.690705886405708,0.0141304012442814,0.0534872951734031,-0.0252264926848404,0.806914831470972
11555,LIN28A,0.690678665797646,-0.000728917497507937,0.00165670466682442,-0.00311453966184029,0.806914831470972
11556,FGF7,0.690912474195311,-0.00912759101438856,0.0119592327380405,-0.0302144147668176,0.807021164476316
11557,TNPO3,0.691256428684162,0.0124985926782242,0.0617675421526598,-0.0367703567962115,0.807353056535331
11558,CPNE9,0.691359811563761,-0.00201704690319138,0.00314440913417545,-0.00717850294055821,0.80740393982416
11559,TTC23,0.691462298267919,-0.0113233869623779,0.0150042572737897,-0.0376510311985456,0.807453767801745
11560,MRGBP,0.691763050371042,-0.00671692774073487,0.0211144758882492,-0.0345483313697189,0.807665223934635
11561,OASL,0.69173089925114,-4.39019816029021e-06,0.0105289969686074,-0.010537777364928,0.807665223934635
11562,MYH3,0.692127247092493,0.000206579506690341,0.0109960088276813,-0.0105828498143006,0.808020548456535
11563,ENTPD7,0.692330022747554,0.00858269679641041,0.0380300229023749,-0.020864629309554,0.808117489367562
11564,TARS1,0.692300470665206,-0.00328299462088739,0.018461712378355,-0.0250277016201298,0.808117489367562
11565,HHLA3,0.692492296766897,0.00694968783990865,0.026629701773853,-0.0127303260940357,0.808237010095942
11566,BRCA1,0.692613490221558,-0.00452782120539558,0.00598326379930812,-0.0150389062100993,0.808238686868729
11567,PSPN,0.692605217377421,-0.000960452486966027,0.00476772895831866,-0.00668863393225071,0.808238686868729
11568,SLC44A4,0.692679485156705,0.000948023492109461,0.00375756332783751,-0.00186151634361858,0.808245823880118
11569,FAM234B,0.692836632704428,-0.00932554600530364,0.0139013794215495,-0.0325524714321568,0.808359310938228
